,Mus musculus,Rattus norvegicus,Panthera leo,Triturus cristatus,Ateles paniscus,Branta canadensis,Camelus dromedarius,Cebus albifrons,Crocodylus siamensis,Echinops telfairi,Erinaceus europaeus,Hippopotamus amphibius,Lagothrix lagotricha,Lutra lutra,Macaca mulatta,Mellivora capensis,Microtus xanthognathus,Nasua nasua,Tursiops truncatus,Anas platyrhynchos,Camelus bactrianus,Cavia porcellus,Crocuta crocuta,Elephas maximus,Lama guanicoe,Martes foina,Mustela putorius,Paguma larvata,Sminthopsis crassicaudata,Struthio camelus,Tragelaphus strepsiceros,Tapirus terrestris,Callimico goeldii,Colobus guereza,Lama glama,Macropus giganteus,Phalacrocorax carbo,Papio cynocephalus,Rhinolophus ferrumequinum,Squalus acanthias,Vultur gryphus,Panthera onca,Aquila chrysaetos,Ateles geoffroyi,Balaenoptera acutorostrata,Bos taurus,Ceratotherium simum,Crocodylus niloticus,Dasyurus viverrinus,Equus zebra,Homo sapiens,Papio anubis,Saimiri sciureus,Scalopus aquaticus,Ovis aries,Ursus thibetanus,Accipiter gentilis,Ailuropoda melanoleuca,Alligator mississippiensis,Antrozous pallidus,Canis latrans,Cebus capucinus,Chlorocebus aethiops,Chrysocyon brachyurus,Dasypus novemcinctus,Didelphis virginiana,Equus caballus,Lama vicugna,Physeter catodon,Procyon lotor,Oryctolagus cuniculus,Talpa europaea,Ursus maritimus,Aotus trivirgatus,Bradypus tridactylus,Bubalus bubalis,Caretta caretta,Gallus gallus,Columba livia,Helarctos malayanus,Lepus europaeus,Loxodonta africana,Macropus rufus,Meles meles,Myotis velifer,Ornithorhynchus anatinus,Potorous tridactylus,Tadarida brasiliensis,Thunnus thynnus,Vulpes vulpes,Sus scrofa,Rhea americana,Saguinus fuscicollis,Suncus murinus,Trichechus inunguis,Lemur catta,Lynx lynx,Macropus eugenii,Ondatra zibethicus,Phoca vitulina,Pongo pygmaeus,Pteronura brasiliensis,Rangifer tarandus,Rhinoceros unicornis,Aythya affinis,Aythya marila,Myodes glareolus,Peromyscus leucopus,Marmota flaviventris,Peromyscus maniculatus,Tamias minimus,Peromyscus polionotus,Peromyscus gossypinus,Peromyscus eremicus,Peromyscus boylii,Castor fiber,Marmota caligata,Peromyscus truei,Ammotragus lervia,Mammuthus primigenius,Mesoplodon densirostris,Orycteropus afer,Panthera pardus,Balaenoptera omurai,Panthera tigris,Lipotes vexillifer,Delphinapterus leucas,Sousa chinensis,Ochotona princeps,Branta bernicla,Aythya americana,Cygnus atratus,Melanitta nigra,Melanitta perspicillata,Bucephala albeola,Bos indicus,Neophocaena phocaenoides,Kogia sima,Bison bison,Somateria mollissima,Aythya valisineria,Mergus merganser,Bucephala clangula,Mareca americana,Anas carolinensis,Aythya collaris,Anser albifrons,Lophodytes cucullatus,Histrionicus histrionicus,Tadorna tadornoides,Cygnus columbianus,Cygnus buccinator,Mergus serrator,Spatula clypeata,Melanitta fusca,Anas acuta
Mus musculus,0
Colobus guereza,59,111,110,121,107,116,110,106,118,107,111,109,106,105,106,105,114,105,71,116,110,111,107,109,110,105,105,107,112,114,111,109,107,0
Lama glama,79,47,31,75,23,53,2,26,67,41,30,22,24,26,25,27,53,25,70,54,2,44,30,27,0,26,27,29,43,53,24,28,23,110,0
Macropus giganteus,78,50,49,76,39,46,41,37,65,52,34,40,38,34,37,34,52,39,82,47,41,44,44,40,42,35,36,44,30,48,43,43,39,112,42,0
Phalacrocorax carbo,75,53,49,71,45,10,53,45,51,56,40,44,47,42,46,41,58,41,83,9,53,49,48,47,54,42,44,47,42,12,50,48,46,115,54,46,0
Papio cynocephalus,76,40,28,75,9,45,26,8,69,34,26,23,8,10,4,9,45,14,74,45,26,38,21,32,28,9,11,21,42,46,25,24,10,105,28,35,45,0
Rhinolophus ferrumequinum,78,43,23,76,18,44,27,19,68,38,24,23,18,13,19,14,48,15,72,44,27,38,25,28,28,13,15,22,36,47,27,29,19,109,28,41,42,18,0
Squalus acanthias,93,83,84,94,83,85,86,81,92,80,85,82,79,80,81,80,87,82,94,84,86,85,80,88,88,79,79,80,84,84,82,80,82,115,88,87,84,79,84,0
Vultur gryphus,77,55,50,74,46,8,53,46,51,59,43,48,48,43,47,42,60,42,85,9,53,52,51,49,54,43,45,50,44,10,54,52,47,115,54,48,7,46,45,85,0
Panthera onca,80,43,0,76,26,49,31,27,69,42,30,32,27,23,26,22,52,21,77,49,31,40,12,38,31,23,25,12,39,48,34,37,27,110,31,49,49,28,23,84,50,0
Aquila chrysaetos,78,55,51,74,46,7,55,46,52,58,43,48,48,43,47,42,60,42,85,6,55,52,51,49,56,43,45,50,45,9,54,51,47,116,56,47,8,46,45,86,5,51,0
Ateles geoffroyi,80,39,28,78,4,45,21,8,68,37,27,21,2,13,8,13,46,14,73,45,21,37,25,28,22,12,12,24,44,48,21,23,7,107,22,39,47,10,20,80,48,28,48,0
Balaenoptera acutorostrata,78,42,28,77,16,46,22,17,63,37,26,18,17,21,19,19,47,19,65,45,22,32,23,24,23,20,21,25,40,48,18,24,17,110,23,37,45,21,23,82,49,28,49,15,0
Bos taurus,79,50,33,73,25,54,25,24,69,42,29,20,24,24,25,22,53,27,69,54,25,41,28,33,25,23,24,26,48,55,4,27,25,111,25,43,52,26,27,83,55,33,55,22,20,0
Ceratotherium simum,78,47,35,78,23,48,26,21,68,41,27,23,21,23,25,21,47,25,71,47,26,42,29,33,26,22,24,31,39,47,23,11,25,109,26,41,47,21,27,83,49,35,49,21,23,25,0
Crocodylus niloticus,92,75,68,73,67,54,66,68,7,70,67,66,68,66,66,66,74,65,89,53,66,66,64,63,66,66,67,63,65,53,65,64,68,118,66,63,50,66,68,90,51,68,52,67,63,68,65,0
Dasyurus viverrinus,24,78,78,100,75,81,74,74,93,80,75,76,74,70,73,70,88,71,47,80,74,80,74,75,74,70,70,74,68,78,74,77,74,52,74,69,80,71,76,91,82,78,82,75,74,75,74,91,0
Equus zebra,78,48,37,78,23,48,27,24,66,44,28,25,22,22,26,22,50,24,71,47,27,44,33,35,27,21,23,35,42,45,27,14,25,110,27,42,45,22,27,84,45,37,47,22,24,29,12,63,75,0
Homo sapiens,85,71,64,95,47,72,61,49,89,75,63,58,48,55,49,54,77,55,85,72,61,69,63,66,62,54,56,63,75,76,58,63,49,82,62,70,74,51,57,99,75,64,74,47,53,58,60,88,86,62,0
Papio anubis,76,39,27,76,8,44,25,9,68,35,27,24,7,11,3,10,46,15,75,44,25,39,22,31,27,10,12,22,41,47,25,25,9,106,27,36,46,1,17,80,47,27,47,9,20,26,22,67,72,23,50,0
Saimiri sciureus,79,39,30,78,8,45,22,9,68,37,28,23,5,15,10,15,46,16,72,45,22,39,27,28,23,14,15,26,45,48,24,25,8,106,23,39,49,12,22,81,50,30,48,5,17,25,24,67,74,24,50,11,0
Scalopus aquaticus,84,47,36,73,34,46,41,35,75,44,33,40,35,31,35,31,55,32,82,46,41,48,40,47,42,32,34,39,45,47,42,43,35,117,42,48,50,34,27,89,49,36,49,36,38,40,40,75,81,40,65,33,37,0
Ovis aries,81,46,32,73,25,51,28,26,70,39,29,24,26,27,27,26,48,28,72,51,28,36,29,33,28,27,28,30,46,52,12,30,25,111,28,43,49,29,29,85,52,32,52,24,22,10,29,69,78,29,62,29,27,40,0
Ursus thibetanus,74,39,19,72,14,42,23,13,66,34,20,20,14,7,14,8,47,9,72,42,23,34,14,30,24,7,8,13,40,43,24,28,13,105,24,35,40,13,14,80,43,19,43,16,20,25,27,64,71,28,57,14,17,32,27,0
Accipiter gentilis,80,57,50,75,47,11,52,47,54,57,42,46,49,44,48,43,59,45,82,11,52,54,51,47,52,44,46,50,44,11,51,48,48,116,52,46,11,47,44,87,10,50,7,49,49,52,48,53,82,44,76,48,49,51,49,44,0
Ailuropoda melanoleuca,75,41,22,76,14,45,20,13,67,39,24,23,10,5,13,6,49,9,71,45,20,38,20,28,21,5,6,20,40,48,22,27,13,106,21,37,45,14,14,81,46,22,46,12,19,23,24,67,71,24,55,13,13,34,26,8,47,0
Alligator mississippiensis,91,76,71,75,73,57,73,74,29,75,71,71,74,72,73,71,74,70,89,56,73,66,69,65,73,72,73,69,64,56,71,73,74,118,73,66,55,74,72,86,55,71,55,73,68,72,71,28,90,70,93,74,74,75,68,71,55,72,0
Antrozous pallidus,80,43,29,78,24,47,30,22,70,45,27,27,26,23,25,22,46,23,75,47,30,36,28,32,31,23,25,29,43,48,32,37,24,113,31,38,45,25,21,85,48,29,47,26,23,32,32,68,76,33,55,26,24,38,31,22,47,25,71,0
Canis latrans,74,41,22,76,17,43,26,13,67,38,23,23,14,10,16,9,47,14,72,43,26,35,17,29,27,10,10,16,38,42,26,30,17,105,27,35,43,15,17,81,44,22,44,16,21,27,23,65,70,29,57,16,19,35,30,8,45,10,71,22,0
Cebus capucinus,80,41,27,77,8,45,25,1,71,35,26,21,7,13,9,12,46,15,71,45,25,37,22,29,26,13,14,21,42,46,24,26,6,106,26,37,45,9,19,82,46,27,46,9,18,25,22,68,74,25,50,10,10,35,26,13,47,13,74,22,13,0
Chlorocebus aethiops,77,40,27,75,5,45,26,9,67,34,26,21,8,10,3,10,45,11,73,45,26,37,20,29,27,10,12,20,44,46,24,27,7,105,27,37,45,5,20,81,46,27,46,8,20,25,24,64,73,25,49,6,10,36,27,13,47,14,72,24,15,8,0
Chrysocyon brachyurus,74,41,22,76,17,43,26,13,67,38,23,23,14,10,16,9,47,14,72,43,26,35,17,29,27,10,10,16,38,42,26,30,17,105,27,35,43,15,17,81,44,22,44,16,21,27,23,65,70,29,57,16,19,35,30,8,45,10,71,22,0,13,15,0
Dasypus novemcinctus,83,50,43,83,33,52,33,35,67,47,37,36,34,35,34,35,55,34,79,52,33,45,42,34,33,35,36,43,51,54,36,36,33,115,33,47,54,35,34,92,55,43,52,33,32,35,32,67,79,33,63,34,31,45,36,37,51,32,71,35,35,35,36,35,0
Didelphis virginiana,80,56,48,72,40,45,41,43,60,50,42,45,41,38,38,38,58,40,83,44,41,48,44,44,42,38,38,45,29,49,45,46,40,114,42,32,45,40,41,87,47,48,46,41,42,46,42,60,73,43,72,39,44,49,49,41,47,37,63,48,41,42,40,41,46,0
Equus caballus,78,47,36,79,23,48,26,26,65,44,29,25,22,23,26,23,51,25,71,47,26,45,34,34,26,22,24,36,41,47,26,17,25,111,26,43,47,25,27,85,47,36,49,22,23,28,13,64,76,3,61,24,24,40,30,29,46,23,70,33,30,27,27,30,33,41,0
Lama vicugna,79,47,31,75,23,53,2,26,67,41,30,22,24,26,25,27,53,25,70,54,2,44,30,27,0,26,27,29,43,53,24,28,23,110,0,42,54,28,28,88,54,31,56,22,23,25,26,66,74,27,62,27,23,42,28,24,52,21,73,31,27,26,27,27,33,42,26,0
Physeter catodon,77,45,33,79,22,47,27,25,62,38,28,22,25,25,25,23,51,23,65,46,27,36,29,24,27,24,25,30,39,47,25,30,23,110,27,38,44,27,26,85,48,33,48,23,12,27,27,62,74,24,60,26,25,39,27,25,44,25,66,31,28,26,26,28,33,39,23,27,0
Procyon lotor,75,39,22,73,15,43,24,17,66,36,21,20,18,10,15,9,46,7,70,43,24,30,17,25,25,10,12,19,41,44,25,30,15,106,25,36,39,17,17,84,42,22,42,18,18,26,27,64,71,26,57,18,16,33,27,11,43,14,69,17,16,16,13,16,34,42,27,25,22,0
Oryctolagus cuniculus,77,40,28,76,14,48,24,15,66,37,29,23,15,17,15,16,47,17,72,48,24,33,26,28,24,16,17,26,41,49,26,31,13,107,24,38,46,16,20,83,47,28,49,15,16,27,29,65,73,25,54,15,14,38,29,17,48,17,71,23,22,16,16,22,32,41,24,24,21,16,0
Talpa europaea,79,42,26,71,28,47,31,28,72,40,25,31,29,23,30,24,48,23,80,47,31,42,30,40,32,23,25,27,40,46,36,35,30,110,32,46,45,28,17,83,46,26,48,30,33,34,33,70,78,33,65,29,33,20,35,19,48,26,75,26,24,28,29,24,43,46,34,32,36,25,31,0
Ursus maritimus,74,39,19,72,14,42,23,13,66,34,20,20,14,7,14,8,47,9,72,42,23,34,14,30,24,7,8,13,40,43,24,28,13,105,24,35,40,13,14,80,43,19,43,16,20,25,27,64,71,28,57,14,17,32,27,0,44,8,71,22,8,13,13,8,37,41,29,24,25,11,17,19,0
Aotus trivirgatus,79,39,27,76,6,45,24,5,70,34,24,20,3,9,8,9,44,12,72,45,24,37,22,30,25,8,9,21,42,46,23,23,6,105,25,37,45,6,18,79,46,27,46,5,19,24,21,67,73,21,50,7,6,35,25,11,47,11,74,25,15,6,6,15,36,42,23,25,25,16,14,27,11,0
Bradypus tridactylus,79,50,38,73,30,54,28,32,64,43,35,32,30,29,30,28,50,31,71,54,28,40,35,31,29,28,28,34,44,54,29,36,32,113,29,46,52,32,29,85,54,38,55,28,25,32,34,65,79,33,66,31,29,47,36,32,53,29,71,32,31,33,31,31,37,42,32,29,29,29,28,37,32,31,0
Bubalus bubalis,80,51,36,78,31,57,34,30,72,48,37,29,30,31,32,29,55,31,72,57,34,41,32,38,34,30,30,30,52,58,13,35,31,111,34,50,55,33,34,87,58,36,58,28,28,13,31,71,78,37,64,33,31,45,20,30,57,30,75,37,32,31,32,32,40,52,36,34,33,30,33,39,30,30,35,0
Caretta caretta,82,68,64,79,64,48,69,63,66,69,63,62,65,57,62,57,77,58,89,49,69,66,60,64,70,58,58,58,59,50,63,67,63,117,70,59,46,61,62,87,46,64,48,65,61,64,64,64,86,66,91,62,67,66,67,57,51,60,65,61,58,63,62,58,74,60,67,70,60,58,65,61,57,63,68,65,0
Gallus gallus,77,52,49,75,43,5,53,45,53,58,40,46,45,44,44,43,60,43,87,3,53,54,50,48,54,44,46,49,42,8,52,50,44,116,54,48,9,45,44,84,9,49,9,45,45,54,47,54,81,47,72,44,47,48,51,42,13,45,57,47,43,45,45,43,54,45,47,54,46,43,48,47,42,45,54,57,49,0
Columba livia,77,51,47,73,44,13,51,44,55,55,40,44,46,42,45,42,57,42,80,13,51,51,47,49,52,43,45,47,36,14,49,47,45,115,52,43,15,44,44,83,16,47,16,46,44,51,46,54,76,44,74,45,46,43,49,40,17,47,57,46,43,44,44,43,54,43,46,52,46,40,45,42,40,44,52,54,48,15,0
Helarctos malayanus,74,39,19,72,14,42,23,13,66,34,20,20,14,7,14,8,47,9,72,42,23,34,14,30,24,7,8,13,40,43,24,28,13,105,24,35,40,13,14,80,43,19,43,16,20,25,27,64,71,28,57,14,17,32,27,0,44,8,71,22,8,13,13,8,37,41,29,24,25,11,17,19,0,11,32,30,57,42,40,0
Lepus europaeus,76,39,29,78,14,49,24,16,67,37,30,26,14,17,16,17,47,17,71,49,24,34,27,28,24,16,16,28,42,50,27,29,15,107,24,39,47,17,20,82,48,29,50,14,16,28,28,66,73,24,53,16,14,39,31,19,49,17,72,23,22,17,17,22,33,44,23,24,23,17,5,30,19,16,30,33,65,49,46,19,0
Loxodonta africana,76,45,39,74,30,47,29,30,62,41,34,31,29,30,30,29,50,28,72,48,29,39,35,1,28,30,31,34,42,50,33,38,29,109,28,40,47,32,28,88,49,39,49,29,25,34,33,63,75,35,67,31,29,47,34,31,47,29,65,32,30,30,30,30,34,44,34,28,25,26,28,40,31,31,32,39,64,48,49,31,28,0
Macropus rufus,78,49,48,76,38,45,41,37,65,52,33,40,38,33,36,33,51,38,82,46,41,44,43,40,42,34,36,44,29,47,43,42,39,112,42,1,45,34,40,87,47,48,46,39,37,43,40,63,69,41,69,35,39,47,43,35,45,37,66,37,35,37,36,35,48,32,42,42,38,35,38,45,35,37,46,50,59,47,42,35,38,40,0
Meles meles,75,41,24,73,14,45,26,11,67,38,23,23,13,4,13,4,49,9,70,45,26,35,18,28,27,5,7,19,41,46,23,28,15,105,27,34,43,12,16,81,44,24,44,15,19,24,23,65,70,25,54,13,17,32,28,9,45,7,70,22,8,11,12,8,34,40,26,27,25,11,18,26,9,13,32,31,58,45,43,9,17,29,33,0
Myotis velifer,76,43,28,74,28,46,30,25,68,43,28,28,27,21,28,20,46,23,71,46,30,39,29,32,31,21,23,26,40,45,32,33,29,112,31,39,42,26,20,84,45,28,45,28,28,32,29,66,75,29,61,27,28,37,31,24,45,23,68,18,23,25,27,23,38,43,31,31,31,21,28,27,24,26,29,38,60,46,44,24,28,32,38,22,0
Ornithorhynchus anatinus,79,52,39,79,34,45,36,36,67,48,33,35,37,31,35,32,54,31,75,44,36,43,38,38,37,31,33,39,40,45,38,38,34,114,37,39,42,35,33,85,44,39,44,37,31,40,39,65,78,35,63,36,37,46,41,31,42,35,70,28,36,36,34,36,45,41,35,37,36,31,34,38,31,35,40,45,61,43,42,31,34,38,38,33,35,0
Potorous tridactylus,77,54,45,75,42,44,43,43,65,50,31,44,43,35,41,36,53,40,82,45,43,49,43,39,44,36,38,43,26,46,47,43,43,113,44,15,45,39,38,87,45,45,46,44,41,47,41,64,69,41,75,40,44,45,48,35,44,40,67,42,35,43,40,35,47,34,42,44,39,38,39,39,35,41,44,52,61,46,40,35,41,39,14,37,42,37,0
Tadarida brasiliensis,80,45,26,79,26,51,30,24,73,44,27,26,25,18,25,18,48,22,73,51,30,39,27,36,31,17,19,27,39,50,31,31,26,111,31,38,48,22,18,81,49,26,51,27,26,29,29,71,75,27,59,23,27,34,34,19,48,22,75,20,22,25,24,22,39,46,28,31,30,20,24,21,19,23,32,37,62,51,46,19,23,36,37,21,24,31,34,0
Thunnus thynnus,96,78,78,86,78,68,81,77,87,80,74,78,79,77,79,77,85,74,100,67,81,79,79,80,81,77,79,81,77,67,82,74,79,121,81,79,69,79,76,93,71,78,69,79,75,80,72,86,98,76,94,80,77,73,79,76,70,77,85,74,73,77,79,73,78,78,77,81,74,75,82,73,76,79,83,82,79,67,68,76,81,81,78,74,76,78,78,75,0
Vulpes vulpes,74,40,21,76,15,41,26,12,67,37,21,23,14,8,14,7,47,12,72,41,26,36,16,28,27,8,10,16,37,42,25,29,16,105,27,34,41,13,15,82,42,21,42,16,20,26,22,65,70,28,55,14,18,33,29,7,43,9,71,20,2,12,13,2,34,41,29,27,27,14,21,22,7,14,33,31,57,41,41,7,20,29,33,6,23,34,33,20,72,0
Sus scrofa,84,42,24,76,23,48,24,25,67,44,26,20,24,24,23,23,46,24,76,49,24,36,28,32,25,24,26,29,42,51,29,31,23,112,25,41,49,26,24,88,49,24,50,24,23,27,29,67,80,27,55,25,26,35,25,24,47,24,69,25,25,25,24,25,37,45,26,25,29,23,24,29,24,25,37,36,70,49,47,24,24,33,40,24,28,34,43,26,79,24,0
Rhea americana,75,54,50,73,45,4,55,45,53,57,42,46,47,44,46,43,59,43,84,3,55,54,49,49,55,44,46,48,43,4,52,48,46,115,55,47,8,45,46,84,8,50,7,47,47,54,46,52,79,45,74,46,47,48,51,42,9,47,55,47,43,45,45,43,53,46,47,55,46,43,50,47,42,45,56,57,49,5,13,42,51,49,46,45,46,44,45,51,66,41,51,0
Saguinus fuscicollis,80,40,28,77,4,45,26,9,69,35,25,21,8,12,7,13,44,12,73,45,26,36,22,30,27,12,14,23,45,46,27,27,6,105,27,38,45,9,20,81,45,28,46,8,18,28,25,66,74,23,50,10,8,37,28,14,47,16,73,22,17,8,5,17,34,43,25,27,24,13,14,29,14,6,32,34,63,45,44,14,14,31,37,14,28,33,41,24,77,15,25,45,0
Suncus murinus,75,42,30,74,24,45,28,26,72,37,23,27,23,18,26,19,46,21,73,45,28,39,30,35,29,18,20,31,38,44,32,24,25,108,29,40,41,24,20,79,42,30,44,25,30,30,24,69,72,21,62,25,26,32,29,20,41,21,72,28,25,26,24,25,36,43,22,29,30,21,24,22,20,21,38,38,63,45,41,20,23,35,39,22,26,33,38,20,73,23,26,45,24,0
Trichechus inunguis,80,40,30,78,28,49,30,29,63,37,27,25,29,28,28,28,47,25,74,48,30,37,28,30,31,28,29,28,45,48,31,32,27,109,31,44,46,28,30,82,50,30,48,28,23,33,32,61,77,32,67,29,29,42,31,23,49,28,69,34,29,29,27,29,40,47,33,31,26,26,30,31,23,26,34,38,64,48,46,23,32,30,44,31,34,34,43,33,78,29,33,48,28,32,0
Lemur catta,81,47,33,70,24,50,41,27,68,49,35,34,27,24,22,25,52,25,80,50,41,42,29,40,41,25,27,30,52,52,34,37,26,111,41,45,49,23,32,87,49,33,47,26,32,35,36,65,79,32,61,24,26,43,35,27,50,29,68,33,31,27,21,31,42,48,34,41,35,26,27,38,27,25,39,38,63,51,48,27,28,41,44,26,37,43,45,35,80,29,33,49,22,36,37,0
Lynx lynx,79,43,4,73,24,48,33,24,70,39,26,28,25,19,24,18,50,18,76,48,33,36,10,36,33,19,21,10,42,47,31,34,25,108,33,45,46,24,22,82,49,4,48,26,27,30,32,68,76,36,63,25,28,37,29,15,48,22,71,26,18,24,23,18,42,49,37,33,32,18,28,25,15,23,39,33,62,48,46,15,29,37,44,20,25,38,43,25,76,17,24,47,24,28,27,29,0
Macropus eugenii,78,48,48,77,38,45,40,38,64,53,34,41,36,35,36,35,52,40,83,46,40,45,45,39,41,36,36,45,29,49,43,44,38,113,41,3,47,36,40,87,49,48,48,37,36,43,42,64,70,43,69,35,38,46,43,36,47,36,67,39,35,38,38,35,47,30,42,41,37,37,37,46,36,38,44,50,60,47,44,36,38,39,3,35,40,40,15,39,81,35,40,48,39,41,44,47,46,0
Ondatra zibethicus,82,36,47,73,36,52,45,37,74,49,40,37,38,36,35,36,31,39,82,53,45,38,43,44,46,36,38,42,47,54,43,44,37,114,46,45,54,35,38,83,55,47,53,37,41,43,40,72,83,44,66,36,38,47,42,38,53,39,72,35,37,37,34,37,49,49,44,46,44,39,38,38,38,36,41,47,70,53,52,38,38,44,44,39,37,44,46,36,78,37,36,53,37,39,41,41,44,45,0
